Texture TexStanding gfx/standing.png
Texture TexRunning gfx/running.png
Texture TexJumping gfx/jumping.png
Texture TexGround gfx/ground.png
Texture TexDirt gfx/dirt.png
Texture TexBrick gfx/brick.png
Texture TexBlock gfx/block.png
Texture TexQuestion gfx/question.png
Texture TexGrass gfx/grass.png
Texture TexCloud gfx/cloud.png
Texture TexPipeTop gfx/pipe_top.png
Texture TexPipeBot gfx/pipe_bottom.png
Texture TexExplosion gfx/explosion.png
Texture TexCoin gfx/coin.png
Animation PlayerStanding TexStanding 1 0
Animation PlayerRunning TexRunning 4 10
Animation PlayerJumping TexJumping 1 0
Animation Ground TexGround 1 0
Animation Dirt TexDirt 1 0
Animation Brick TexBrick 1 0
Animation Block TexBlock 1 0
Animation Question TexQuestion 8 8
Animation Grass TexGrass 1 0
Animation Cloud TexCloud 1 0
Animation PipeTop TexPipeTop 1 0
Animation PipeBot TexPipeBot 1 0
Animation Explosion TexExplosion 8 5
Animation Coin TexCoin 4 6
Animation CollectibleCoin TexCoin 4 6
Font MenuFont fonts/ZXDTPMA.ttf
